date,return,equity,drawdown,turnover
2021-01-01,0.0,1.0,0.0,0.0
2021-01-04,0.0,1.0,0.0,0.0
2021-01-05,0.0,1.0,0.0,0.0
2021-01-06,0.0,1.0,0.0,0.0
2021-01-07,0.0,1.0,0.0,0.0
2021-01-08,0.0,1.0,0.0,0.0
2021-01-11,0.0,1.0,0.0,0.0
2021-01-12,0.0,1.0,0.0,0.0
2021-01-13,0.0,1.0,0.0,0.0
2021-01-14,0.0,1.0,0.0,0.0
2021-01-15,0.0,1.0,0.0,0.0
2021-01-18,0.0,1.0,0.0,0.0
2021-01-19,0.0,1.0,0.0,0.0
2021-01-20,0.0,1.0,0.0,0.0
2021-01-21,0.0,1.0,0.0,0.0
2021-01-22,0.0,1.0,0.0,0.0
2021-01-25,0.0,1.0,0.0,0.0
2021-01-26,0.0,1.0,0.0,0.0
2021-01-27,0.0,1.0,0.0,0.0
2021-01-28,0.0,1.0,0.0,0.0
2021-01-29,0.0,1.0,0.0,0.0
2021-02-01,-0.008588087943175612,0.9914119120568244,-0.00858808794317556,1.0
2021-02-02,-0.00947356540474642,0.9820197064649094,-0.017980293535090563,0.0
2021-02-03,0.0024827268644825496,0.9844577931716011,-0.015542206828398908,0.0
2021-02-04,-0.005599964091699716,0.9789448648800462,-0.021055135119953827,0.0
2021-02-05,0.011404549043382171,0.9901092896023377,-0.009890710397662317,0.0
2021-02-08,0.00791560058941713,0.9979465992787014,-0.0020534007212985594,0.0
2021-02-09,0.00024253337594017576,0.9981886346364325,-0.0018113653635675186,0.0
2021-02-10,-0.00453844162868446,0.9936584137837188,-0.006341586216281225,0.0
2021-02-11,-0.010084045166193304,0.9836383174593557,-0.016361682540644296,0.0
2021-02-12,-0.012412011784849443,0.9714293870710208,-0.028570612928979222,0.0
2021-02-15,0.007505941015869284,0.978720878751458,-0.021279121248542032,0.0
2021-02-16,-0.003401653422548759,0.9753916095245332,-0.024608390475466813,0.0
2021-02-17,-0.005520112771484434,0.970007337843598,-0.02999266215640195,0.0
2021-02-18,-0.0021240013271772162,0.9679470409706465,-0.032052959029353456,0.0
2021-02-19,-0.00018498989471849026,0.9677679805494444,-0.03223201945055565,0.0
2021-02-22,0.009786903016042384,0.977239431917113,-0.022760568082886956,0.0
