axis,version,source,start,end,cagr,sharpe,max_drawdown,monthly_win_rate,annual_gross_turnover,note
基线与调仓,Day1基线：月中调仓+增强因子,mvp_cn/outputs/ma180_final/ma180_final_metrics.csv,,,0.161164,0.835658,-0.206291,0.580153,6.302406,月中15日_增强因子
基线与调仓,Day1基线：月中调仓+原始因子,mvp_cn/outputs/ma180_final/ma180_final_metrics.csv,,,0.151287,0.791168,-0.208412,0.572519,5.754448,月中15日_原因子
基线与调仓,Day1基线：月末调仓+原始因子,mvp_cn/outputs/ma180_final/ma180_final_metrics.csv,,,0.140727,0.738205,-0.301998,0.546154,6.152414,月末_原因子
ETF宇宙,ETF池比较：6只宽行业ETF,mvp_cn/outputs/granularity/granularity_metrics.csv,,,0.151184,0.793572,-0.218872,0.564885,6.381416,粗粒度_6只
ETF宇宙,ETF池比较：16只中粒度ETF,mvp_cn/outputs/granularity/granularity_metrics.csv,,,0.078746,0.449993,-0.459359,0.481928,9.516414,中粒度_16只
ETF宇宙,ETF池比较：22只细分ETF,mvp_cn/outputs/granularity/granularity_metrics.csv,,,0.02149,0.208264,-0.475259,0.421053,9.541823,细粒度_22只
算法与窗口,Elastic Net｜扩展窗口,mvp_cn/outputs/model_comparison/training_window_robustness.csv,2020-06-22,2026-06-18,0.2293565197740967,1.029695779528342,-0.2403554352376993,0.6301369863013698,8.777973091934214,elastic_net
算法与窗口,Elastic Net｜滚动8年,mvp_cn/outputs/model_comparison/training_window_robustness.csv,2020-06-22,2026-06-18,0.2191169752533592,0.98752760042076,-0.2403554352376993,0.6301369863013698,8.130748048679349,elastic_net
算法与窗口,LASSO筛选后Ridge｜扩展窗口,mvp_cn/outputs/model_comparison/training_window_robustness.csv,2020-06-22,2026-06-18,0.2095086155602463,0.9550801347929336,-0.254759522870607,0.6301369863013698,8.86170046433494,stability_lasso_ridge
算法与窗口,LASSO筛选后Ridge｜滚动8年,mvp_cn/outputs/model_comparison/training_window_robustness.csv,2020-06-22,2026-06-18,0.2052927598683191,0.9369311521327164,-0.254759522870607,0.589041095890411,8.468370773180357,stability_lasso_ridge
