date,symbol,close,amount
2020-01-02,510300,100.89437,119768484.64
2020-01-02,510500,100.933386,245509624.07
2020-01-02,512100,99.261784,247396386.24
2020-01-02,512480,101.379075,331057188.21
2020-01-02,512690,99.830542,818153535.97
2020-01-02,515000,99.120119,431782293.26
2020-01-03,510300,100.676452,129465235.03
2020-01-03,510500,101.533804,115509344.76
2020-01-03,512100,97.526266,249807620.95
2020-01-03,512480,101.046714,272292599.18
2020-01-03,512690,99.169263,434768401.11
2020-01-03,515000,98.140692,270703948.71
2020-01-06,510300,99.300554,205867439.5
2020-01-06,510500,100.680633,230908571.1
2020-01-06,512100,96.056013,201163987.75
2020-01-06,512480,100.225696,255052402.39
2020-01-06,512690,97.679839,291253168.94
2020-01-06,515000,95.972449,273991992.57
2020-01-07,510300,99.679366,255473538.64
2020-01-07,510500,100.522871,138363812.34
2020-01-07,512100,96.209728,311800893.71
2020-01-07,512480,100.387244,435729306.26
2020-01-07,512690,98.277714,347843850.61
2020-01-07,515000,95.956547,397499709.43
2020-01-08,510300,99.186338,175693552.3
2020-01-08,510500,99.940872,194331259.62
2020-01-08,512100,94.398382,273995086.36
2020-01-08,512480,100.157039,294671354.07
2020-01-08,512690,97.383011,355247649.76
2020-01-08,515000,94.40439,406867150.77
2020-01-09,510300,98.477017,317610781.89
2020-01-09,510500,98.979297,139916770.21
2020-01-09,512100,94.740262,275006925.42
2020-01-09,512480,100.85392,173269413.05
2020-01-09,512690,96.551662,464858584.0
2020-01-09,515000,94.606365,384029688.29
2020-01-10,510300,97.812385,278574207.38
2020-01-10,510500,98.672383,118641911.73
2020-01-10,512100,95.067396,170060176.21
2020-01-10,512480,100.017956,263797044.71
2020-01-10,512690,96.339651,434946930.4
2020-01-10,515000,94.048725,434596242.51
2020-01-13,510300,97.996369,235275392.03
2020-01-13,510500,99.166731,238004739.39
2020-01-13,512100,94.82361,271582159.77
2020-01-13,512480,100.610525,262807075.86
2020-01-13,512690,96.056514,474274241.27
2020-01-13,515000,94.184004,401310057.16
2020-01-14,510300,97.345212,256871399.0
2020-01-14,510500,98.07226,265722233.98
2020-01-14,512100,94.740066,240711693.91
2020-01-14,512480,100.984772,244227400.8
2020-01-14,512690,95.24279,337910027.46
2020-01-14,515000,93.968276,363340471.0
2020-01-15,510300,97.537057,198733980.93
2020-01-15,510500,98.466291,208906055.39
2020-01-15,512100,95.160913,260017522.52
2020-01-15,512480,101.070753,316125986.0
2020-01-15,512690,97.129042,658226212.79
2020-01-15,515000,94.951422,554183971.31
2020-01-16,510300,97.555406,139234009.16
2020-01-16,510500,99.01891,170421196.22
2020-01-16,512100,94.404485,412941651.75
2020-01-16,512480,101.490126,297834317.58
2020-01-16,512690,97.36095,262751674.89
2020-01-16,515000,94.592055,367240152.21
2020-01-17,510300,97.181637,233095352.28
2020-01-17,510500,99.650833,199847657.41
2020-01-17,512100,94.312672,209471971.97
2020-01-17,512480,102.074661,314508382.91
2020-01-17,512690,97.674127,452858622.52
2020-01-17,515000,94.118975,535894589.83
2020-01-20,510300,98.042285,319924003.39
2020-01-20,510500,99.403843,135668709.16
2020-01-20,512100,95.484485,222937496.16
2020-01-20,512480,103.149778,225278648.83
2020-01-20,512690,98.874657,428795441.09
2020-01-20,515000,95.451293,395782866.29
2020-01-21,510300,98.376,228242012.14
2020-01-21,510500,100.139454,391117304.53
2020-01-21,512100,97.253057,271421575.09
2020-01-21,512480,104.209535,238876878.8
2020-01-21,512690,100.344717,401562698.95
2020-01-21,515000,96.984844,428575131.21
2020-01-22,510300,97.95131,154695463.75
2020-01-22,510500,100.045797,297568123.11
2020-01-22,512100,97.482379,252297788.19
2020-01-22,512480,104.028743,408894810.01
2020-01-22,512690,99.819411,469101218.94
2020-01-22,515000,97.212372,195874819.24
2020-01-23,510300,98.090714,321609307.54
2020-01-23,510500,101.187692,190239703.05
2020-01-23,512100,99.350332,237857794.22
2020-01-23,512480,105.048572,167848931.16
2020-01-23,512690,99.989769,205114995.47
2020-01-23,515000,96.976895,476762767.15
2020-01-24,510300,97.513533,185196534.73
2020-01-24,510500,100.780732,348221811.44
2020-01-24,512100,98.534914,159586679.62
2020-01-24,512480,104.278425,205283622.27
2020-01-24,512690,99.241405,354978641.22
2020-01-24,515000,95.056225,384568560.26
2020-01-27,510300,97.97972,267909396.84
2020-01-27,510500,100.945537,171015845.89
2020-01-27,512100,99.770418,190948603.82
2020-01-27,512480,103.763924,318149134.33
2020-01-27,512690,99.238727,322944544.06
2020-01-27,515000,95.848068,350072817.52
2020-01-28,510300,98.210342,126860964.57
2020-01-28,510500,100.108702,132620616.92
2020-01-28,512100,99.23193,224999524.12
2020-01-28,512480,103.675733,467100983.7
2020-01-28,512690,97.05429,370496856.04
2020-01-28,515000,95.027803,444645760.37
2020-01-29,510300,98.614772,176638914.1
2020-01-29,510500,100.558146,134587842.98
2020-01-29,512100,99.161432,187608593.36
2020-01-29,512480,104.013485,559170911.36
2020-01-29,512690,96.49889,590973025.53
2020-01-29,515000,95.07699,161959748.0
2020-01-30,510300,97.695363,261058781.88
2020-01-30,510500,99.015679,178527079.85
2020-01-30,512100,98.412242,270663933.43
2020-01-30,512480,102.697584,165564149.14
2020-01-30,512690,95.497247,298906022.23
2020-01-30,515000,92.687203,450539697.09
2020-01-31,510300,96.295761,282467995.95
